Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Label
76,94,30,30,51,88,16,53,48,50,-1
65,84,20,46,88,35,81,49,50,11,-1
32,76,70,56,79,43,39,56,83,46,-1
13,48,2,51,8,86,10,2,33,97,1
54,41,40,99,100,41,33,60,38,94,0
74,14,5,79,93,2,15,100,40,18,-1
0,62,7,72,7,86,46,87,83,56,-1
92,34,37,98,78,35,17,25,15,79,0
37,24,16,26,93,1,95,51,96,14,1
11,83,59,8,50,61,65,6,86,18,-1
82,90,8,76,17,49,50,57,68,74,1
57,14,91,76,13,0,33,28,28,0,-1
88,88,79,50,71,1,13,82,61,40,1
53,75,7,1,66,64,25,59,42,50,1
18,98,99,66,60,24,36,64,80,29,1
79,70,93,56,48,19,41,32,71,17,1
21,88,70,50,55,31,65,95,57,81,1
14,99,18,58,20,36,6,58,16,58,1
57,1,26,21,57,93,7,81,27,6,1
45,10,69,61,83,32,68,36,63,90,1
68,45,13,7,69,31,30,17,63,72,0
97,67,23,11,78,20,50,88,94,35,-1
11,15,78,6,10,62,34,96,45,15,1
42,32,92,69,30,52,14,62,57,7,-1
59,55,75,49,16,23,55,49,73,97,1
19,75,21,70,56,40,31,78,71,31,1
43,80,3,21,37,2,77,36,100,15,0
50,7,15,77,3,15,94,95,45,87,0
20,19,47,37,34,56,94,33,15,26,1
42,98,5,36,65,27,45,50,56,20,1
14,18,10,35,100,55,88,46,59,67,-1
3,58,93,48,40,7,49,91,20,6,0
63,6,89,37,97,69,100,48,33,71,-1
84,51,41,5,20,77,68,1,2,93,-1
47,95,3,9,12,90,6,84,71,68,1
11,34,9,55,6,12,20,67,49,80,1
68,18,66,45,44,83,30,16,55,68,0
68,64,74,96,28,4,69,39,97,16,0
10,43,25,44,27,62,91,99,67,39,-1
47,88,16,57,77,86,55,98,43,11,1
98,88,83,3,8,75,95,47,7,18,1
45,47,82,25,88,78,25,29,41,58,0
59,12,5,32,21,46,47,83,72,98,-1
14,67,63,58,28,35,75,96,22,56,-1
31,82,62,51,23,23,23,99,87,94,-1
25,80,69,36,98,67,40,12,2,32,0
59,5,11,4,77,74,53,94,88,28,-1
98,59,21,13,10,32,21,91,79,26,-1
54,71,2,91,39,93,73,55,36,9,0
4,66,0,81,39,33,36,71,67,12,1
93,10,97,11,16,51,36,47,14,54,-1
15,100,91,24,19,53,96,2,99,2,-1
2,57,91,87,18,9,67,60,23,48,1
40,17,57,51,48,30,72,37,33,89,-1
70,88,51,20,43,58,80,60,98,25,-1
31,87,16,64,84,37,50,66,31,53,-1
79,4,24,83,95,62,73,33,65,74,-1
47,22,56,2,93,93,89,62,50,17,1
60,35,47,20,20,78,70,57,56,63,-1
14,24,90,37,22,9,77,62,94,58,0
29,2,10,96,29,33,48,56,60,71,1
68,57,7,15,87,44,65,68,81,38,0
11,98,57,51,54,57,96,51,40,61,1
94,49,52,6,13,5,7,22,58,37,-1
31,77,80,33,68,66,96,12,79,17,-1
48,92,18,31,6,26,56,10,0,81,1
50,75,58,82,21,26,85,47,53,65,-1
77,97,86,23,58,33,10,13,76,92,1
21,33,44,28,63,87,62,34,49,34,-1
77,41,83,21,49,17,81,3,9,3,1
52,5,84,52,51,17,82,11,78,14,-1
56,12,57,41,29,23,81,38,19,24,0
99,88,24,45,49,89,96,5,53,73,1
98,72,79,92,37,28,25,48,89,14,1
85,6,35,37,8,50,43,50,85,27,-1
68,50,41,73,10,56,96,20,43,65,-1
43,80,10,58,6,24,5,86,85,0,0
48,90,62,69,55,74,45,88,96,64,-1
33,2,70,98,33,73,53,3,95,98,-1
8,29,59,79,88,8,15,12,6,44,1
18,65,85,11,41,92,92,10,95,56,1
89,33,67,87,40,17,36,70,20,63,-1
53,29,9,78,34,19,17,24,13,89,0
2,65,4,36,50,62,34,21,46,13,1
67,14,32,1,63,58,93,53,11,16,0
5,1,6,5,2,41,11,29,13,52,-1
49,6,2,2,93,35,90,13,24,87,0
34,26,63,4,76,91,74,81,70,41,0
73,91,74,53,35,6,42,36,76,13,1
87,66,81,63,82,74,92,56,41,31,-1
74,51,42,88,21,4,28,26,48,7,1
96,53,71,53,81,37,15,7,0,18,-1
16,68,8,32,0,11,74,38,7,90,1
31,54,11,24,95,100,8,39,48,82,-1
49,19,16,98,54,63,53,2,61,36,1
39,47,14,55,57,86,46,54,19,0,1
26,54,83,10,22,87,98,83,99,54,-1
85,12,44,74,17,46,37,76,77,4,1
71,12,4,32,56,80,41,68,56,87,0
97,93,82,44,14,97,47,4,34,6,1
76,19,56,64,54,86,11,14,29,50,-1
2,65,66,18,4,80,53,99,91,4,-1
71,29,37,98,0,79,31,35,93,31,-1
92,35,72,77,56,43,4,12,47,36,-1
11,59,19,97,76,88,46,18,96,39,-1
75,43,38,76,22,14,68,6,93,64,-1
3,64,99,33,34,44,17,12,88,50,-1
35,54,92,55,42,8,24,22,15,32,1
24,52,19,16,61,23,28,56,5,59,-1
51,17,15,15,68,93,24,40,79,69,0
16,2,89,36,70,64,69,19,84,76,1
56,78,82,18,70,15,99,45,5,93,0
90,45,70,48,74,14,91,96,85,7,1
73,51,59,50,73,34,35,10,6,6,0
5,67,57,30,66,86,58,3,70,17,-1
76,75,65,75,35,44,88,67,47,78,-1
96,67,100,37,26,79,82,33,19,51,1
35,87,40,23,48,93,75,57,23,93,0
15,45,37,37,96,15,76,18,25,14,-1
25,38,10,98,32,96,38,39,26,21,0
55,62,46,9,18,45,11,10,88,86,1
13,72,8,59,76,55,77,41,37,45,-1
83,2,8,99,97,47,19,20,37,82,-1
50,49,61,42,47,50,56,8,2,13,-1
19,75,93,46,48,23,26,31,63,4,0
30,21,14,75,18,82,42,87,26,72,-1
88,52,76,94,42,77,64,46,1,96,1
94,19,51,37,89,91,64,95,23,34,1
2,26,5,97,89,73,15,84,91,81,0
28,44,8,28,44,16,87,91,75,1,1
74,66,83,58,76,91,71,75,44,71,0
22,15,29,1,7,92,13,48,82,59,0
9,40,36,32,94,70,93,44,28,3,0
13,91,83,49,76,71,11,63,53,7,-1
66,49,49,29,51,95,77,57,88,15,0
44,58,3,57,38,90,59,98,5,22,1
0,17,43,53,22,58,11,51,22,13,-1
43,19,41,62,80,7,34,68,65,45,-1
52,22,71,71,4,69,2,41,49,17,1
4,57,65,53,54,2,22,46,97,68,0
100,78,91,88,83,9,44,44,18,43,0
51,78,82,94,13,18,40,38,83,12,-1
31,30,58,95,64,3,31,95,84,14,0
40,99,52,82,88,31,76,77,76,38,1
76,20,22,91,17,79,63,37,27,51,-1
34,48,67,19,92,20,74,10,28,50,1
91,18,96,18,79,69,6,8,36,87,0
66,29,96,54,65,67,29,71,24,0,1
92,65,66,63,74,38,39,88,4,55,1
13,15,89,64,96,21,29,49,42,25,1
64,36,77,91,95,48,40,36,68,3,-1
46,76,0,55,77,19,92,71,21,69,1
21,66,63,85,56,90,70,19,39,65,0
96,21,100,0,36,82,69,59,42,80,-1
17,15,90,45,70,91,90,36,84,69,0
5,95,11,59,45,38,49,56,15,21,0
7,75,40,79,34,30,29,71,76,26,-1
35,61,84,93,5,43,11,70,12,57,0
5,56,39,25,58,87,60,62,28,5,1
21,58,60,79,78,34,5,47,37,60,-1
31,48,67,96,20,64,87,13,44,10,1
1,81,31,19,73,45,0,92,75,54,1
8,15,60,63,17,23,87,14,60,24,0
80,57,99,48,4,77,35,61,48,48,-1
84,31,71,13,97,60,13,50,48,18,1
6,67,10,2,84,18,60,25,35,64,1
58,22,32,44,57,49,47,79,23,1,0
38,61,96,37,97,99,72,54,10,27,0
6,31,66,78,19,57,43,79,56,66,1
0,8,90,24,55,0,8,92,66,55,-1
95,47,78,70,79,29,39,99,59,46,0
75,99,53,79,72,55,78,87,62,38,1
15,70,59,88,6,70,7,20,76,19,-1
55,59,68,88,19,98,86,20,71,38,0
61,25,8,81,74,46,88,66,97,33,0
45,54,72,19,93,6,31,93,14,29,0
57,81,4,83,79,91,50,33,92,21,1
16,17,24,44,18,14,26,22,52,22,-1
70,4,11,12,89,99,34,5,0,15,-1
13,1,81,14,57,44,68,17,44,80,1
80,40,20,65,38,52,42,43,39,49,-1
74,20,43,30,50,95,21,70,24,19,1
21,22,16,7,95,92,44,24,1,33,1
11,75,44,3,70,66,95,40,40,19,1
84,45,12,94,45,70,13,78,20,61,0
95,74,56,98,3,83,38,96,42,28,1
26,3,16,4,3,73,100,61,61,41,1
77,72,78,33,50,13,100,33,57,98,1
22,58,97,76,46,33,48,74,11,34,-1
12,38,0,89,53,97,41,70,14,46,0
87,94,50,68,27,47,22,11,27,84,1
46,12,16,4,2,19,94,93,81,45,1
21,22,68,3,66,94,45,81,95,5,-1
14,71,18,29,35,53,85,67,59,5,-1
90,63,99,61,26,16,18,50,71,16,0
4,64,15,84,25,15,51,55,6,9,-1
88,94,14,71,36,83,86,11,47,52,1
3,56,37,79,63,4,23,89,44,4,0
21,100,11,68,10,51,18,81,90,61,1
67,13,88,86,77,9,37,20,3,83,-1
41,95,39,71,78,76,15,67,36,72,-1
98,60,20,10,3,99,30,37,95,59,1
23,27,34,39,50,0,56,35,51,95,1
58,58,15,10,60,70,61,57,89,11,0
0,40,65,66,20,37,19,95,21,95,1
37,4,63,71,71,30,54,49,87,56,1
8,63,6,17,98,83,29,78,62,72,-1
18,22,52,99,27,95,7,14,63,70,-1
64,67,15,95,83,6,42,48,10,45,0
11,28,62,6,76,14,44,56,24,94,0
35,21,41,57,49,63,72,98,55,66,-1
96,44,63,4,92,55,84,97,83,22,1
88,9,65,38,71,73,32,24,89,18,1
41,60,61,69,36,18,12,70,9,96,-1
25,1,36,32,53,70,19,1,35,5,-1
44,87,39,59,52,71,48,13,24,97,0
23,25,78,35,54,62,29,3,44,20,1
71,61,61,84,90,60,37,73,25,26,-1
15,56,4,59,68,93,55,61,4,5,-1
39,33,10,19,38,81,51,35,87,97,-1
92,57,73,87,47,81,78,8,78,33,0
100,44,49,55,53,22,63,56,85,64,1
41,98,27,50,60,83,9,56,49,30,-1
66,78,2,6,95,57,37,20,25,36,0
35,5,19,72,71,0,44,57,5,78,1
7,82,27,3,10,68,80,51,10,44,1
14,90,94,83,54,80,78,15,83,69,0
53,34,61,55,42,8,5,15,78,77,1
28,91,18,33,23,41,29,78,74,58,-1
70,97,39,93,12,31,92,59,20,79,-1
38,42,44,79,69,65,82,94,72,32,1
93,62,28,72,5,33,73,0,86,76,1
48,95,60,33,12,18,95,30,43,80,0
11,98,66,52,54,67,75,16,18,25,-1
33,16,17,95,52,8,29,97,21,32,1
69,69,37,9,75,45,22,69,20,64,0
46,65,75,98,79,56,45,1,24,94,0
14,35,29,66,41,63,33,71,68,61,-1
53,94,29,42,19,28,95,72,70,51,0
78,99,88,42,85,88,92,43,51,12,0
0,32,93,50,2,28,69,83,68,11,0
99,42,42,1,14,34,34,33,70,79,-1
78,40,17,0,95,22,38,96,4,73,-1
90,57,57,74,44,30,18,69,44,4,0
58,52,96,24,63,22,0,84,78,31,1
78,94,30,30,83,66,49,15,55,20,1
84,16,44,48,67,99,0,10,52,72,0
40,44,9,32,28,52,89,49,32,30,0
3,95,30,47,53,47,38,14,36,95,0
89,60,1,28,61,85,49,33,74,46,-1
45,4,24,45,11,81,21,81,90,92,1
16,25,54,100,57,3,10,53,55,82,0
54,4,29,28,31,70,97,11,45,71,-1
70,36,3,51,62,82,98,54,83,36,0
90,82,19,6,2,54,48,49,27,82,1
59,69,64,7,64,59,59,96,66,28,0
50,40,66,44,24,49,32,32,84,46,0
35,0,7,94,19,2,57,11,79,85,-1
69,49,15,59,94,76,42,91,24,44,1
10,18,0,20,1,62,22,73,84,61,-1
55,93,24,11,30,7,39,71,74,28,0
80,66,81,70,54,37,6,87,69,37,-1
13,34,53,27,25,74,46,37,89,18,-1
57,82,52,83,55,99,6,52,96,1,1
13,53,7,79,100,26,34,1,2,83,-1
70,45,73,84,30,91,19,67,21,23,0
56,28,86,82,82,79,16,69,8,74,-1
85,7,100,99,57,88,52,42,53,76,0
40,59,29,13,7,37,89,62,34,73,-1
41,25,66,51,16,100,46,80,42,45,1
68,38,61,35,73,52,1,51,22,33,1
19,16,90,8,34,86,85,10,80,86,-1
63,86,17,43,47,72,39,4,0,56,-1
20,100,73,35,37,88,14,1,45,100,1
11,18,45,28,42,46,71,0,8,51,1
31,20,41,17,50,66,83,97,48,4,-1
8,64,8,83,20,85,64,97,88,46,1
18,51,42,7,18,19,15,10,65,61,1
52,9,3,89,73,44,55,57,48,31,1
63,12,36,84,68,13,9,38,50,16,-1
44,34,47,46,49,33,36,94,76,99,-1
82,3,76,61,89,15,43,73,68,67,1
72,74,67,33,57,54,49,99,8,77,1
41,48,4,54,86,19,54,77,60,8,-1
27,14,41,66,92,20,36,12,68,17,-1
55,25,85,83,26,78,71,9,42,69,1
55,15,32,35,28,53,62,72,91,41,0
10,65,57,22,84,82,63,10,43,3,1
97,65,59,90,21,68,59,73,35,9,-1
16,27,0,54,10,1,16,41,29,89,1
34,45,12,12,59,4,42,3,97,39,0
32,17,50,40,83,80,44,60,3,3,-1
20,16,26,24,28,99,48,23,6,72,-1
75,82,80,2,20,84,16,70,42,42,0
70,85,33,88,57,59,15,52,13,54,0
99,53,98,18,56,22,13,34,55,39,0
47,3,46,42,41,57,38,16,14,34,0
16,67,58,35,25,95,40,31,76,6,-1
33,8,0,96,59,96,43,49,92,75,1
7,82,44,55,35,8,4,56,28,14,0
24,95,92,68,67,3,67,99,92,10,0
82,73,86,93,36,89,14,64,34,2,1
23,73,98,58,1,39,91,59,54,79,-1
35,68,3,38,68,83,35,39,20,98,-1
57,93,89,66,45,84,35,87,79,41,1
3,35,12,77,54,29,31,38,28,16,0
80,39,71,61,92,48,91,1,81,33,1
32,73,11,41,36,80,67,62,62,14,-1
36,83,27,23,80,6,53,62,1,51,0
100,68,17,8,74,0,13,85,17,84,0
9,10,80,69,46,10,74,99,12,34,1
12,45,28,99,62,87,85,44,90,22,0
9,27,6,78,95,78,29,84,16,46,0
49,15,52,9,64,42,58,73,43,50,0
38,26,99,89,4,30,96,68,11,97,-1
91,38,81,85,78,40,25,49,66,13,1
21,17,55,14,86,36,73,24,36,55,1
79,88,13,12,84,72,60,62,84,48,-1
42,86,82,83,73,80,2,41,39,29,0
47,85,55,88,34,96,7,7,62,79,1
11,50,87,63,32,50,63,68,83,16,0
35,85,42,60,75,100,11,32,91,29,-1
16,67,90,90,66,94,21,13,55,22,-1
68,72,8,77,38,26,24,4,16,68,0
26,70,92,10,46,17,47,72,61,49,1
43,15,4,97,27,68,43,88,8,26,1
36,70,26,90,27,34,83,81,57,26,1
76,49,45,0,32,1,33,55,49,41,0
91,43,5,49,1,48,45,30,87,29,1
84,26,88,97,19,84,4,12,32,25,0
57,23,85,89,78,63,92,97,52,58,1
61,84,59,12,39,97,49,86,2,62,-1
19,97,4,25,10,3,91,59,41,90,-1
57,0,78,99,69,96,2,54,57,45,-1
64,36,93,35,69,91,94,1,59,74,-1
27,4,14,2,66,12,74,78,15,55,0
36,1,28,6,4,59,68,15,29,47,1
90,88,1,80,23,35,49,33,62,38,1
80,43,12,86,51,96,39,13,68,35,1
1,20,71,10,0,90,100,67,43,1,1
48,73,49,13,27,64,25,9,57,6,-1
73,59,36,35,25,45,35,33,19,36,1
70,37,47,72,12,71,23,13,96,4,0
62,2,73,53,36,90,92,99,64,62,1
32,65,80,99,80,14,74,90,11,42,1
80,26,93,28,49,27,36,76,31,88,1
41,40,80,7,2,18,49,59,83,71,1
47,99,16,98,78,41,13,80,67,89,0
49,13,78,82,44,54,78,73,55,1,-1
26,100,22,17,38,2,39,13,48,59,1
29,58,34,86,99,21,7,91,11,20,1
94,80,0,9,14,71,65,39,81,73,-1
22,48,44,75,72,21,98,82,17,8,-1
63,63,57,65,10,10,24,33,41,59,1
78,82,21,58,97,39,41,84,24,57,0
46,1,100,43,3,33,29,92,14,8,-1
88,81,2,46,20,77,33,96,21,87,0
77,85,52,16,25,50,31,67,49,58,1
43,16,71,17,92,100,29,24,31,97,-1
47,69,60,18,20,80,47,84,7,47,-1
66,26,9,16,38,61,86,5,89,88,1
83,91,75,98,68,47,87,25,16,32,0
87,12,5,75,56,23,12,35,5,89,1
36,91,29,11,23,39,71,7,20,18,1
62,62,49,100,54,40,53,49,70,51,1
56,47,40,69,0,44,44,15,80,37,1
52,55,28,40,0,83,77,89,79,33,-1
32,55,46,46,19,71,9,70,54,5,0
23,30,3,20,48,16,55,36,77,61,0
94,83,11,98,27,20,71,85,45,23,0
60,33,68,15,34,90,64,15,60,15,0
53,21,100,100,73,95,43,64,76,63,-1
39,92,35,57,100,48,15,24,9,15,1
8,64,95,54,11,23,48,42,73,20,-1
46,51,35,88,52,7,62,7,26,18,-1
75,36,31,44,72,41,60,22,89,3,-1
31,13,40,6,77,99,82,89,53,67,1
66,30,42,9,52,30,19,97,93,46,-1
12,60,27,97,29,19,60,41,92,8,0
50,89,74,87,69,84,75,35,21,37,-1
98,49,21,50,14,60,14,87,8,73,1
89,24,65,94,96,97,78,67,43,47,0
85,16,65,39,55,8,14,24,24,17,0
25,91,95,48,4,8,22,85,2,2,0
4,6,11,17,50,56,28,77,70,68,0
34,45,24,97,43,22,37,90,59,83,0
91,83,34,99,14,61,67,82,84,92,-1
40,49,24,56,87,20,84,7,29,18,-1
55,24,44,99,66,56,90,55,80,55,1
97,44,84,72,21,41,78,73,44,41,0
29,66,29,41,23,15,6,77,86,71,0
18,12,94,33,49,72,39,65,19,66,1
70,84,7,20,64,87,4,89,20,95,1
6,43,47,63,26,5,33,98,5,1,-1
19,5,43,73,64,98,64,100,35,64,-1
16,50,22,98,18,37,64,60,65,83,-1
1,87,47,2,91,71,6,100,96,4,0
83,89,58,48,98,71,16,84,100,17,-1
45,39,85,93,64,74,46,58,13,27,1
27,35,14,39,8,82,75,72,67,13,-1
38,98,89,33,74,57,18,15,97,11,0
26,100,3,57,69,46,67,28,90,82,1
50,45,42,90,15,86,25,78,55,53,0
3,13,37,91,20,52,17,89,35,8,-1
2,62,79,49,3,7,26,13,80,30,-1
57,11,74,8,36,13,39,59,98,2,-1
46,43,67,23,10,53,82,20,13,31,-1
3,78,97,13,21,28,15,46,36,34,-1
39,61,83,81,21,28,20,38,93,90,1
70,91,92,34,30,37,93,98,33,2,1
48,78,58,75,95,23,16,38,0,65,1
70,2,15,99,48,28,70,66,86,51,1
10,31,79,14,95,21,1,33,30,27,-1
24,39,54,63,91,93,64,74,81,65,1
9,70,90,71,4,76,54,6,53,41,-1
26,9,95,89,89,58,56,44,85,49,0
88,97,67,83,82,27,36,96,14,95,0
40,76,75,75,52,11,57,59,24,71,0
65,43,7,83,35,14,42,98,93,95,-1
12,49,75,35,57,31,98,71,30,36,1
100,87,98,21,96,55,68,21,9,19,0
50,48,2,87,30,21,37,79,75,90,1
77,91,9,66,78,2,7,12,90,92,-1
74,81,74,30,4,70,27,59,67,53,-1
30,76,33,24,40,3,6,65,34,58,0
1,17,39,48,25,99,28,60,28,65,1
24,3,43,10,43,80,65,92,83,61,1
36,30,26,69,65,0,9,28,16,70,1
64,89,79,89,96,100,48,75,92,34,-1
59,40,54,63,32,14,46,62,5,67,0
27,72,92,29,76,33,44,39,40,64,-1
93,93,4,1,96,81,8,69,11,94,1
95,76,15,8,46,69,82,60,0,79,-1
39,73,49,99,85,12,54,21,78,42,-1
83,89,5,47,100,97,3,67,60,45,-1
62,30,27,100,5,45,37,50,27,7,0
21,43,7,71,86,6,52,37,34,80,1
22,40,66,91,4,41,45,70,22,91,1
69,5,89,24,80,43,90,46,49,58,-1
22,49,89,22,33,96,22,34,90,1,-1
22,46,68,25,21,61,73,51,97,57,0
65,26,93,65,85,75,94,21,66,65,0
14,51,87,11,53,79,27,32,36,45,0
84,69,43,18,75,30,5,60,24,22,1
27,77,12,59,31,23,60,22,84,17,0
18,96,27,62,10,82,78,57,67,85,0
78,83,60,49,19,57,34,53,79,31,0
27,48,73,85,80,6,73,75,19,96,0
8,95,46,58,7,24,13,72,3,29,-1
81,22,47,36,92,35,7,27,83,24,-1
29,49,97,14,48,32,64,35,47,27,0
56,80,100,23,48,11,5,74,90,38,0
100,58,63,83,80,33,27,45,61,11,1
77,47,47,3,47,9,4,8,47,100,-1
75,37,69,94,64,46,65,32,57,88,0
24,46,93,41,66,18,59,78,54,43,-1
49,81,97,19,43,24,23,67,29,51,-1
81,77,2,62,48,79,20,60,53,2,1
90,51,82,27,7,89,10,92,95,18,-1
80,70,24,66,8,98,18,37,52,99,0
90,1,22,75,96,4,7,15,79,14,-1
35,27,3,53,95,5,71,82,19,66,0
32,53,76,59,56,7,74,92,40,70,1
41,36,84,31,58,25,22,25,29,81,-1
61,84,50,38,19,29,80,52,73,100,0
1,14,60,50,81,24,43,47,99,65,0
63,84,34,33,98,19,32,65,59,100,-1
13,24,1,52,94,24,45,71,36,67,0
63,93,7,17,3,13,41,64,70,19,1
55,70,53,24,47,9,34,32,45,87,0
90,52,18,11,17,13,57,77,12,96,0
81,30,85,51,91,15,55,46,77,38,1
79,60,38,53,11,36,14,61,96,54,0
8,37,19,55,49,71,91,80,0,31,-1
12,53,61,70,39,25,47,42,75,46,-1
55,5,98,11,54,23,28,100,54,88,-1
70,88,17,44,89,51,17,49,80,94,-1
14,36,40,73,90,20,32,36,8,81,0
90,50,3,7,0,89,3,94,70,37,-1
14,45,12,53,49,80,71,79,75,13,-1
50,46,85,25,84,68,37,65,29,36,0
33,48,69,66,88,52,9,43,54,38,-1
18,2,54,16,42,65,66,16,18,82,0
63,6,28,42,98,3,48,1,53,76,1
11,39,5,91,73,54,87,66,92,12,0
78,36,52,48,49,20,56,27,31,51,0
53,77,24,41,41,81,72,79,18,29,1
43,0,79,17,73,98,15,48,13,61,1
59,88,2,64,7,6,94,6,76,98,1
57,42,50,27,66,44,76,65,100,55,-1
82,17,56,100,87,100,98,10,67,42,1
33,30,83,76,89,14,7,60,78,26,1
64,25,99,53,61,73,89,82,86,19,0
59,71,3,68,75,44,5,23,92,81,0
26,89,42,41,67,72,49,21,91,51,-1
93,89,76,53,86,41,22,16,72,48,1
91,34,12,13,68,77,99,100,33,59,-1
38,56,92,56,3,82,40,98,53,0,-1
99,68,43,56,93,64,76,69,100,47,-1
59,7,65,54,49,81,13,63,94,71,1
86,48,92,74,89,70,56,84,47,53,0
51,78,86,25,4,35,63,2,28,73,-1
52,28,87,29,24,33,5,44,15,28,0
2,12,72,72,87,62,42,20,75,1,1
2,86,36,80,26,66,76,24,13,94,0
46,90,85,1,9,88,47,46,100,76,-1
90,85,54,68,98,100,20,83,58,76,-1
22,48,28,92,64,5,6,11,11,76,1
23,52,63,21,73,10,100,79,50,14,0
92,10,19,14,70,35,84,12,35,55,-1
18,18,56,77,17,46,46,30,91,59,1
35,83,88,54,31,34,8,60,85,67,0
85,25,93,29,91,94,95,58,85,71,1
28,54,34,9,12,22,1,67,34,34,1
98,64,48,75,37,33,62,76,90,3,0
57,15,91,82,75,42,94,2,87,52,0
63,0,10,87,52,93,57,8,9,92,0
53,54,67,94,92,56,59,88,47,84,1
82,39,95,91,6,84,17,60,25,44,1
38,30,83,8,56,89,85,3,81,33,0
7,29,92,100,19,69,94,0,51,86,-1
29,76,32,18,68,96,15,76,87,45,1
49,57,7,44,69,19,29,92,26,24,-1
90,24,78,66,12,99,23,98,30,36,0
64,100,9,8,30,20,21,32,28,65,-1
70,34,11,73,55,50,35,50,27,11,1
51,17,1,55,63,88,37,44,48,94,0
99,41,0,70,89,73,28,31,10,86,0
65,12,100,30,1,82,5,51,66,22,-1
2,62,44,13,73,82,61,18,87,37,1
53,62,34,9,75,19,97,97,14,91,0
53,85,83,62,84,48,40,35,43,55,-1
85,2,2,18,50,74,23,43,97,98,-1
96,11,100,73,84,80,30,92,46,77,1
84,76,48,54,19,24,72,61,87,49,0
82,41,69,89,72,8,20,36,28,71,-1
67,2,60,96,33,50,81,29,39,73,1
2,63,8,71,17,83,63,20,67,11,0
84,59,10,96,86,90,3,66,64,96,1
53,80,24,64,12,9,84,70,50,35,-1
67,0,70,40,52,19,6,21,42,22,0
15,4,6,2,8,35,92,84,1,70,0
9,99,2,6,37,29,18,41,50,43,1
20,65,44,68,14,13,70,46,81,18,0
95,62,85,89,56,98,13,21,48,26,1
92,19,59,67,2,43,43,25,84,23,-1
22,67,18,30,17,6,71,79,61,55,0
31,87,9,5,66,84,94,14,52,100,-1
21,99,38,95,53,45,15,51,41,34,1
82,32,67,1,73,82,0,91,34,41,-1
11,27,15,57,39,74,74,80,33,11,0
44,89,74,59,76,21,4,28,86,72,1
93,93,8,66,60,60,13,28,64,67,-1
51,54,70,18,77,75,88,82,5,54,1
16,89,1,44,45,39,61,16,87,78,0
84,63,71,28,37,25,51,85,59,37,0
96,77,33,83,33,19,62,32,84,72,0
65,31,79,95,39,37,32,81,42,42,-1
7,78,26,88,25,57,80,84,77,75,1
46,6,19,20,74,88,48,61,13,11,-1
52,89,83,82,61,21,59,79,40,23,1
99,33,79,18,79,41,74,65,24,51,-1
42,48,81,74,34,11,1,39,58,4,-1
97,96,73,12,6,23,46,11,88,89,-1
100,44,23,35,32,67,51,41,20,92,-1
56,54,83,36,41,98,69,19,28,98,0
96,26,76,93,84,13,27,70,84,48,0
34,14,3,82,94,6,82,60,92,52,0
100,75,54,49,86,72,54,63,27,57,1
72,11,1,3,16,95,39,58,83,26,-1
2,72,59,93,55,79,50,25,70,90,0
47,83,6,85,42,39,67,95,7,29,0
59,56,2,84,2,39,62,95,2,88,-1
44,83,23,100,11,47,88,53,90,76,-1
85,43,22,87,87,75,94,4,87,57,0
62,14,95,23,39,30,83,82,24,10,-1
32,95,97,99,66,21,27,15,24,0,-1
21,24,80,27,72,6,16,12,18,28,1
42,20,13,42,91,28,11,39,34,89,1
100,80,53,31,65,70,17,26,22,45,0
39,24,82,86,21,98,38,90,19,21,-1
35,29,40,51,77,78,30,39,20,45,-1
20,58,34,40,23,77,13,11,91,99,0
2,33,27,27,61,11,45,10,84,93,-1
92,50,89,41,60,19,74,10,31,94,-1
57,33,91,33,47,100,95,18,86,64,-1
94,7,17,74,38,92,52,24,25,78,-1
27,64,94,0,56,77,96,71,99,86,0
37,43,78,85,51,86,30,47,19,62,-1
40,19,91,65,47,38,74,25,42,42,-1
4,89,20,88,94,62,94,4,3,49,1
44,19,35,45,56,97,64,14,9,39,1
67,1,51,35,39,43,91,13,42,95,1
56,86,84,50,39,92,39,71,59,35,0
76,97,45,57,47,60,14,44,47,42,-1
50,72,49,97,99,13,90,91,64,20,0
86,96,97,9,69,68,16,100,1,82,0
20,33,25,85,70,86,24,58,90,40,1
28,81,72,41,82,88,59,90,44,60,1
42,3,58,25,45,23,21,90,42,61,-1
63,76,79,74,53,75,80,76,79,20,0
92,46,69,74,61,8,9,25,41,24,1
31,13,82,15,78,16,5,9,85,81,-1
69,98,52,57,27,52,1,82,85,75,0
40,54,11,17,29,15,57,60,78,25,-1
21,24,20,75,62,40,36,5,61,23,1
99,99,55,28,91,24,78,64,94,2,1
51,16,56,7,7,0,25,18,69,40,1
83,53,12,26,38,58,8,25,31,32,0
43,44,24,17,51,31,46,10,26,22,-1
23,42,8,64,95,92,65,3,58,8,1
85,63,94,43,63,34,20,27,8,61,1
0,7,13,34,49,55,84,34,19,55,-1
41,34,88,16,55,57,94,14,79,29,0
28,41,94,99,28,52,90,0,80,21,0
74,55,41,84,68,6,95,29,45,75,0
47,51,39,82,34,46,41,81,57,45,0
50,18,42,8,26,50,16,24,85,36,1
49,68,28,15,65,37,42,39,37,83,0
48,85,49,97,17,68,22,36,44,16,-1
68,78,89,6,84,83,24,91,24,22,0
57,7,81,96,51,100,55,21,57,19,0
4,73,44,14,35,26,9,23,23,81,1
6,15,96,56,99,98,77,33,51,80,0
